from_user,user_followers_count,user_friends_count
AlistairBoxall,1710,1346
alitwy,2798,2426
Alixxx_97,521,1084
aliya_hamza,,
aliyahayo,,
aliyahiyork,373,419
AliyahQaisar,64,71
aliyasophia__,1437,1074
ALKTaif,597,802
all_isee,3542,5002
ALlamaCalledIzz,95,61
allan_ronnie,498,933
AllanBrame,234,258
allann1810,24,51
AllanTaxi65,40,120
Allchanges,5899,6495
allenprderby,770,1085
Alleone,1988,5003
Allerton,160,693
allessandra31,207,813
AllexCalza,248,43
allgreeny,1731,2311
Alliana_x,388,79
alliejbong,11,134
alliemplatt,353,798
allinsonm660,480,784
allison_stu,,
allisonbirchx,88,191
Allisonmcintos8,336,1004
allnewsi1,1091,1829
allontheboard,,
AllotmentSlim,,
allsaintscsch,,
allsopp_carol,67,164
alltimejo,347,192
AlltonGeorgia,42,205
Ally_Nuttall,3167,1788
ally_pantovich,167,374
Allyjambo,1446,1515
almas_sx,332,429
almuckersie,377,355
alpa_depani,810,890
alperyalcin_,162,395
alps_johnphilip,938,377
Alterego_2121,166,1012
AltrinchamCOA,2759,1414
aluna_fire,77,873
AlvarezMaurizio,49,443
Alvina28554654,,
alvinahere,18,133
ALVINEWALLACE,266,380
AlwaysLearnWeb,18399,5667
alxwrght,158,253
Alymacphail,1388,2753
Alyson28002759,2,4
am1874northwich,486,643
AM19656,15,370
Amaalia_xo,466,254
amaalll_x,34,35
AmaanHafeez7,88,150
amahra_,5248,1777
Amalkadog,3957,4194
amalwbu,467,441
AMan4AllSaisons,1022,3311
AmandaBonnick,254,995
AmandaCahillRip,977,2095
AmandaCCorcoran,430,86
AmandaGtto,,
AmandaGWEU,2161,1147
AmandaHayes6,335,648
amandajs11,1869,1290
amandajtextiles,290,597
AmandaKendal,2141,1495
amandalynnemusi,511,781
amandaT94594405,125,317
amandavbarrett,80,423
amandeep86,1321,3512
amanideen,1362,836
AmaniHashi,248,194
amar_hh,148,86
amarachhiii,720,304
amarem9,217,1979
amars_innit,,
AmateyDoku,,
amato_sue,6,76
AmayaSmith_,350,697
amberdog333,57,357
AmberDonLouise,313,298
